year,nr_family
1848.0,3.0
1849.0,3.0
1850.0,3.0
1851.0,3.0
1852.0,3.0
1853.0,3.0
1854.0,3.0
1855.0,4.0
1856.0,4.0
1857.0,5.0
1858.0,5.0
1859.0,5.0
1860.0,5.0
1861.0,5.0
1862.0,5.0
1863.0,5.0
1864.0,4.0
1865.0,4.0
1866.0,4.0
1867.0,4.0
1868.0,4.0
1869.0,4.0
1870.0,4.0
1871.0,4.0
1872.0,5.0
1873.0,6.0
1874.0,6.0
1875.0,6.0
1876.0,4.0
1877.0,4.0
1878.0,4.0
1879.0,3.0
1880.0,3.0
1881.0,3.0
1882.0,3.0
1883.0,3.0
1884.0,3.0
1885.0,3.0
1886.0,3.0
1887.0,3.0
1888.0,3.0
1889.0,4.0
1890.0,4.0
1891.0,5.0
1892.0,5.0
1893.0,5.0
1894.0,5.0
1895.0,6.0
1896.0,6.0
1897.0,6.0
1898.0,6.0
1899.0,6.0
1900.0,6.0
1901.0,6.0
1902.0,6.0
1903.0,5.0
1904.0,5.0
1905.0,5.0
1906.0,5.0
1907.0,5.0
1908.0,5.0
1909.0,5.0
1910.0,5.0
1911.0,5.0
1912.0,4.0
1913.0,3.0
1914.0,3.0
1915.0,3.0
1916.0,3.0
1917.0,3.0
1918.0,4.0
1919.0,4.0
1920.0,6.0
1921.0,6.0
1922.0,6.0
1923.0,6.0
1924.0,6.0
1925.0,6.0
1926.0,6.0
1927.0,6.0
1928.0,6.0
1929.0,6.0
1930.0,6.0
1931.0,6.0
1932.0,6.0
1933.0,6.0
1934.0,5.0
1935.0,5.0
1936.0,5.0
1937.0,5.0
1938.0,5.0
1939.0,4.0
1940.0,3.0
1941.0,2.0
1942.0,2.0
1943.0,2.0
1944.0,2.0
1945.0,2.0
1946.0,2.0
1947.0,2.0
1948.0,3.0
1949.0,3.0
1950.0,3.0
1951.0,3.0
1952.0,3.0
1953.0,3.0
1954.0,3.0
1955.0,3.0
1956.0,3.0
1957.0,3.0
1958.0,3.0
1959.0,3.0
1960.0,4.0
1961.0,4.0
1962.0,4.0
1963.0,4.0
1964.0,4.0
1965.0,4.0
1966.0,4.0
1967.0,4.0
1968.0,4.0
1969.0,4.0
1970.0,4.0
1971.0,4.0
1972.0,4.0
1973.0,4.0
1974.0,2.0
1975.0,2.0
1976.0,2.0
1977.0,2.0
1978.0,3.0
1979.0,3.0
1980.0,2.0
1981.0,2.0
1982.0,2.0
1983.0,3.0
1984.0,3.0
1985.0,3.0
1986.0,3.0
1987.0,3.0
1988.0,2.0
1989.0,2.0
1990.0,2.0
1991.0,2.0
1992.0,2.0
1993.0,2.0
1994.0,2.0
1995.0,2.0
1996.0,3.0
1997.0,3.0
1998.0,4.0
1999.0,4.0
2000.0,4.0
2001.0,4.0
2002.0,4.0
2003.0,4.0
2004.0,4.0
2005.0,4.0
2006.0,4.0
2007.0,4.0
2008.0,4.0
2009.0,4.0
2010.0,4.0
2011.0,3.0
2012.0,4.0
2013.0,4.0
2014.0,4.0
2015.0,4.0
2016.0,3.0
2017.0,3.0
2018.0,2.0
2019.0,2.0
